,,,,,, ,,Updated on:,8/13/2026 1:26 PM,,,5957,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date,,
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458801,ETA 9/1,#60,,,"1,500.81",Aug-27,,
05093,GRANA PADANO WW 16 MESI,-14,,,,,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458801,ETA 9/1,#60,,,"1,500.17",Aug-27,,
05095,TRENTIN GRANA PDO CHEESE,0,,,,"no need to reorder it until September 2026, ask Stefano",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458801,ETA 9/1,#60,,,"1,517.41",Aug-27,,
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458803,ETA 9/1,#60,,,"1,518.03",Aug-27,,
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,10,,,,"Greg 12x monthly plan and ACE, we monitor, next",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458801,ETA 9/1,#60,,,"1,473.48",Aug-27,,
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,7,,,,ACE Endico pre order?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458803,ETA 9/1,#60,,,"1,477.69",Aug-27,,
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,10,,,64.357,02/19/2027,,
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027,,
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,20229,"CACIOTTA HERBS 1,2 LBS",1308180,07/03/2026,27,,,230.91,02/03/2027,,
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1312806,07/23/2026,144,,,760.32,02/24/2027,,
,,,,,,,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1312807,07/23/2026,144,72,72x HEB 57X331093,760.32,02/24/2027,AIR FREIGHT,
