,,,,,, ,,Updated on:,9/17/2026 10:51,,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avail,Exp Date,
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,10926257,ETA 10/08,72,72,Veroni 23-26C,"1,085.30",May-27,
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,10926257,ETA 10/08,72,72,Veroni 23-26C,"1,089.21",May-27,
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,20450,BRA TENERO PDO CHEESE,1316582,08/06/2026,6,,,94.97,01/11/2027,
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,20453,RASCHERA PDO CHEESE,1316580,08/06/2026,6,,,108.34,01/11/2027,
,,,,,,,,20464,ALTA BADIA CHEESE WHOLE WHEEL,1328693,09/24/2026,21,,15 DIPALO HOLIDAY,448.266,04/30/2027,
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,22,,,116.16,09/08/2026,
20150,CACIOTTA BLACK TRUFFLES 6 LBS,90,,,,average purchase TONY 55 per month,,20480,CACIOTTA MNT HERBS 7 OZ EW,1328740,09/24/2026,144,,,760.32,04/28/2027,
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1324266,09/04/2026,141,48,KeHE 3898594,744.48,04/09/2027,
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,47,,,,"15x Greg monthly plan, we monitor",,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,11,,,58.08,12/16/2026,
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,360,,,,TJ preorder,,20481,CACIOTTA PEPATO 7 OZ EW,269381428,ETA 10/08,44,,,232.32,May-27,
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,20511,FONTAL CHEESE 1/4 WHEEL,1328704,09/24/2026,240,,,"1,437.63",04/29/2027,
20229,CACIOTTA HERBS 1.2 LBS,23,,,,10-15x monthly plan Cowbell,,20511,FONTAL CHEESE 1/4 WHEEL,1324249,09/04/2026,198,,40 DI PALO HOLIDAY,"1,222.76",04/07/2027,
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,20511,FONTAL CHEESE 1/4 WHEEL,269381431,ETA 10/08,240,240,Lettieri 0003302,"1,415.10",May-27,
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,32,,,97.652,07/15/2027,
