,,,,,, ,,Updated on:,25 June 2026 12:05,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avai,Exp Date
20533,AGED TRUFFLE CHEESE BLACK,0,,,,"Baldor, non possiamo restare senza,",,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,24,,,119.85,01/09/2027
20567,CASTELMAGNO DOP,0,,,,"not interesting for the stock, Import no possible, Supplier withou FDA Nr.",,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,54,,,"1,001.16",08/30/2026
20569,BIANCO D'ITALIA 1/4 WHEEL,184,,,,Cowbell,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.95,10/22/2026
20584,STELVIO PDO CHEESE WHOLE WHEEL,0,,,,<30?,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,17,,,111.34,11/22/2026
20586,LAGREIN,0,,,,not interesting for the stock,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1287530,04/10/2026,7,,,35.526,11/28/2026
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,24,,,119.91,12/16/2026
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,23,,,156.045,12/16/2026
20702,PECORINO CURRY,0,,,,not interesting for the stock,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,6,,,180.75,09/13/2026
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269577202,ETA 6/28 (AF),120,120,HEB 57X292991,633.6,Feb-27
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269577201,ETA 6/28 (AF),120,120,HEB 57X292991,633.6,Feb-27
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1225718,08/21/2025,3,,,64.032,07/24/2026
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,21,,,426.79,04/15/2027
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,24,,,,,,05001,GRANA PADANO PDO WHOLE WHEEL,1296214,05/15/2026,8,,,654.87,04/15/2027
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,05001,GRANA PADANO PDO WHOLE WHEEL,1304221,06/18/2026,30,,,2458.88,05/07/2027
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,05007,GRANA PADANO PDO 1/8 WHEEL,1304235,06/18/2026,44,,,847.03,01/07/2027
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,05007,GRANA PADANO PDO 1/8 WHEEL,269618407,ETA 7/2,104,104,Gordon 4514500966,"2,234.66",Jan-27
30014,APERICHEESE YELLOW ,0,,,,product ready? NEW,,05007,GRANA PADANO PDO 1/8 WHEEL,269618412,ETA 7/2,104,,,"2,241.17",Jan-27
30015,APERICHEESE RED,0,,,,product ready? NEW,,05007,GRANA PADANO PDO 1/8 WHEEL,269618406,ETA 7/2,104,,,"2,224.38",Jan-27
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,05007,GRANA PADANO PDO 1/8 WHEEL,269618413,ETA 7/2,104,,,"2,218.98",Jan-27
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,05007,GRANA PADANO PDO 1/8 WHEEL,269618404,ETA 7/2,104,,,"2,226.75",Jan-27
40020,MONTASIO CHEESE WHOLE WHEEL,60,,,,do we have <25?,,05007,GRANA PADANO PDO 1/8 WHEEL,269618411,ETA 7/2,104,,,"2,167.57",Jan-27
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,05007,GRANA PADANO PDO 1/8 WHEEL,269618409,ETA 7/2,104,,,"2,129.59",Jan-27
40103,PECORINO ROMANO PDO WHOLE WHEEL,54,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269618410,ETA 7/2,104,,,"2,175.31",Jan-27
