,,,,,, ,,Updated on:,3 July 2026 11:29,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,CS Avail.,Reserved,Comments,Net Avail.,Exp Date
05095,TRENTIN GRANA PDO CHEESE,0,,,,"no need to reorder it until September 2026, ask Stefano",,20464,ALTA BADIA CHEESE WHOLE WHEEL,210461197,ETA 07/23,24,,,515.80,Feb-27
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,,,121.44,09/08/2026
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,73,,,,"Greg 12x monthly plan and ACE, we monitor, next",,20480,CACIOTTA MNT HERBS 7 OZ EW,1280644,03/16/2026,144,,HEB?,760.32,09/27/2026
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,0,,,,ACE Endico pre order?,,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,12,,KeHE? Lettieri,63.36,12/16/2026
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20511,FONTAL CHEESE 1/4 WHEEL,1290765,04/24/2026,240,,,1468.41,11/22/2026
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20511,FONTAL CHEESE 1/4 WHEEL,1290766,04/24/2026,240,,,"1,526.75",11/22/2026
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,52,,,158.686,07/15/2027
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,20520,TALEGGIO CHEESE PDO WHOLE WHEEL,4147,ETA 07/23,60,,,280.64,Jul-27
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,1290735,04/24/2026,30,30,Baldor,147.368,11/22/2026
20150,CACIOTTA BLACK TRUFFLES 6 LBS,190,,,,average purchase TONY 55 per month,,20533,AGED TRUFFLE CHEESE BLACK,1296197,05/15/2026,120,120,Baldor,570.37,12/16/2026
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20569,BIANCO D'ITALIA 1/4 WHEEL,1285661,04/03/2026,84,,Cowbell monthly plan? July,"1,609.32",03/09/2027
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,67,,,,"15x Greg monthly plan, we monitor",,20569,BIANCO D'ITALIA 1/4 WHEEL,1290733,04/24/2026,100,,Cowbell monthly plan? July,"1,929.80",03/20/2027
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,0,,,,TJ preorder,,20584,STELVIO PDO CHEESE WHOLE WHEEL,860561197,ETA 07/23,15,,,326.32,Feb-27
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,24,,,305.29,05/07/2027
20229,CACIOTTA HERBS 1.2 LBS,30,,,,10-15x monthly plan Cowbell,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,250425193,ETA 07/23,30,,,391.58,Jun-27
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,40020,MONTASIO CHEESE WHOLE WHEEL,1304214,06/18/2026,60,,,778.95,05/09/2027
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285660,04/03/2026,9,,Cowbell monthly plan,512.63,03/06/2027
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,288,,,,HEB 1 pallet + something small for Lettieri,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285662,04/03/2026,45,,,2524.23,03/06/2027
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,68,,,,we don't have project right now,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266069,01/16/2026,35,,,2083.18,10/09/2026
20438,PROVOLONE CYLINDER CHEESE,216,,,,"1 pallet available for Stock, Veroni preorder",,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266067,01/16/2026,36,,,"2,132.76",10/10/2026
20450,BRA TENERO SOFT,0,,,,Specialty Merchants ,,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,22,,,673.58,04/10/2027
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,1255292,12/05/2025,18,,,246.841,11/08/2026
20452,TOMA,0,,,,not interesting for the stock,,40109,PIAVE VECCHIO PDO > 6 MONTHS,1255287,12/05/2025,23,,,309.856,11/08/2026
20453,RASCHERA PIEMONTESE DOP,0,,,,Specialty Merchants ,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,1308186,07/03/2026,30,,Ace Endico?,410.99,02/04/2027
20464,ALTA BADIA,24,,,,"few quantities is fine, do we have <20? Specialty Merchants/CowBell/DiPalo",,40158,PIAVE VECCHIO PDO >12 MONTHS,625130177,ETA 07/23,30,,,374.16,Jun-27
20480,CACIOTTA MNT HERBS 7 OZ EW,167,,,,,,40169,RICOTTA SALATA V.P.,1285659,04/03/2026,8,,,119.49,12/06/2026
20481,CACIOTTA PEPATO 7 OZ EW,12,,,,,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,Selected,578.85,02/04/2027
20511,FONTAL 1/4 WHEEL,480,,,,Lettieri,,40174,PECORINO TOSCANO PDO WW,TF205081,ETA 07/23,80,,,752.74,Feb-27
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,52,,,,<15?,,40175,AGED PECORINO TOSCANO PDO WW,1285643,04/03/2026,17,6,"6x Cheese Importers 85302, Selected",136.45,03/04/2027
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,60,,,,<10? Cheese importers wants stock consistent? (45),,01032,SHARP PROVOLONE,1290757,04/24/2026,11,4,"4x Cheese Importers 85302, Cowbell 0.5$/lbs promotion next order",168.59,11/22/2026
20533,AGED TRUFFLE CHEESE BLACK,0,,,,News about production? Baldor,,01032,SHARP PROVOLONE,1308182,07/03/2026,72,,,1097.59,02/04/2027
20567,CASTELMAGNO DOP,0,,,,"not interesting for the stock, Import no possible, Supplier withou FDA Nr.",,01186,SMOKED PROVOLONE CYLINDER,1308169,07/03/2026,72,,20x Dekalb?,1054.47,02/03/2027
20569,BIANCO D'ITALIA 1/4 WHEEL,184,,,,Cowbell,,01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,1304218,06/18/2026,10,,,204.29,01/13/2027
20584,STELVIO PDO CHEESE WHOLE WHEEL,15,,,,<30?,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1304220,06/18/2026,24,2,Cheese Importers 85302,652.84,05/07/2027
20586,LAGREIN,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1296203,05/15/2026,106,,,759.95,12/16/2026
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1304244,06/18/2026,240,,,"1,703.92",01/09/2027
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1308183,07/03/2026,240,,,"1,701.72",02/03/2027
20702,PECORINO CURRY,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,269576609,ETA 07/23,120,,,827.17,Feb-27
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,12,,,355.35,12/16/2026
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,,713.88,12/16/2026
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,30,,,571.75,03/22/2027
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,54,,,,keep 25 in stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1290753,04/24/2026,6,,,28.15,11/22/2026
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,24,,,119.85,01/09/2027
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,269576613,ETA 07/23,24,,,114.99,Feb-27
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,54,,,1001.16,08/30/2026
30014,APERICHEESE YELLOW ,0,,,,product ready? NEW,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.946,10/22/2026
30015,APERICHEESE RED,0,,,,product ready? NEW,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,17,,,111.34,11/22/2026
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),269576614,ETA 07/23,24,,,144.89,Feb-27
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1287530,04/10/2026,7,,,35.526,11/28/2026
40020,MONTASIO CHEESE WHOLE WHEEL,60,,,,do we have <25?,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,24,,,119.91,12/16/2026
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,23,,,156.045,12/16/2026
40103,PECORINO ROMANO PDO WHOLE WHEEL,54,,,,keep 1-2 pallet in stock,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,6,,,180.75,09/13/2026
40104,PECORINO ROMANO PDO 1/4 WHEEL,71,,,,keep 1-2 pallet in stock,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1225718,08/21/2025,3,,,64.032,07/24/2026
40105,PECORINO GRANGLONA CHEESE,22,,,,Selected - waiting for feedback,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,21,,,426.79,04/15/2027
40107,PIAVE MEZZANO PDO WHOLE WHEEL,18,,,,,,05001,GRANA PADANO PDO WHOLE WHEEL,1296214,05/15/2026,8,2,Cheese Importers 85302,654.874,04/15/2027
40109,PIAVE VECCHIO PDO > 6 MONTHS,23,,,,,,05001,GRANA PADANO PDO WHOLE WHEEL,1304221,06/18/2026,30,,,2458.88,05/07/2027
40130,MONTASIO CHEESE PDO 1/4 WHEEL,30,,,,main Customer Ace Endico,,05001,GRANA PADANO PDO WHOLE WHEEL,82025192,ETA 07/23,30,,,"2,484.17",Jun-27
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,05007,GRANA PADANO PDO 1/8 WHEEL,1304235,06/18/2026,44,,,916.82,01/07/2027
40158,PIAVE VECCHIO PDO > 12 MONTHS,30,,,,"Ace Endico, 30 in stock? ",,05007,GRANA PADANO PDO 1/8 WHEEL,1308157,07/03/2026,104,104,Gordon 4514500966,2218.98,01/30/2027
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,05007,GRANA PADANO PDO 1/8 WHEEL,1308158,07/03/2026,104,8,Cheese Importers 85302,2241.17,01/30/2027
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308159,07/03/2026,104,,,2167.57,01/30/2027
40169,RICOTTA SALATA V.P.,8,,,,Main customer DeKalb,,05007,GRANA PADANO PDO 1/8 WHEEL,1308160,07/03/2026,104,,,2129.59,01/30/2027
40174,PECORINO TOSCANO PDO WW,151,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1308161,07/03/2026,104,,,2175.31,01/30/2027
40175,PECORINO TOSCANO PDO WW AGED,11,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1308163,07/03/2026,104,,,2226.75,01/30/2027
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,05007,GRANA PADANO PDO 1/8 WHEEL,1308164,07/03/2026,104,,,2234.66,01/30/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308176,07/03/2026,104,,,2224.38,01/30/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308162,07/03/2026,104,,,2149.43,01/31/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308167,07/03/2026,104,,,2182.45,01/31/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576606,ETA 07/23,108,,,"2,328.70",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576608,ETA 07/23,108,,,"2,331.87",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576607,ETA 07/23,108,,,"2,345.59",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576605,ETA 07/23,108,,,"2,354.29",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576625,ETA 07/23,104,,,"2,252.32",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576624,ETA 07/23,104,,,"2,240.29",Feb-27
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,16,,Selected?,673.23,12/16/2026
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,Selected?,673.23,12/16/2026
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1290745,04/24/2026,48,10,Cheese Importers 85302,1107.112,03/27/2027
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1304215,06/18/2026,99,,,2181.3,05/18/2027
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,94275,ETA 07/23,99,,,"2,187.31",Jun-27
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1166621,01/23/2025,10,,,905.136,12/05/2025
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1285651,04/03/2026,30,,,2720.83,03/06/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1296215,05/15/2026,13,,CowBell monthly plan,1070.446,04/15/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1304211,06/18/2026,30,,,2471.04,05/07/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1308166,07/03/2026,30,,,2484.11,06/04/2027
